date,date,GDP,CA,CA/GDP
1998-03-31,1998年第一季度,18049.1,104.7116,0.005801485946667702
1998-06-30,1998年第二季度,20296.6,43.5928799999998,0.0021477922410649965
1998-09-30,1998年第三季度,21775.6,52.53033,0.0024123482246183802
1998-12-31,1998年第四季度,25074.2,113.8794848,0.004541699627505564
1999-03-31,1999年第一季度,19361.9,11.5330199999999,0.0005956553850603452
1999-06-30,1999年第二季度,21567.7,5.03655999999995,0.00023352327786458222
1999-09-30,1999年第三季度,23050.8,100.56828,0.004362897600083295
1999-12-31,1999年第四季度,26583.9,94.0035236658534,0.003536107330596842
2000-03-31,2000年第一季度,21329.9,36.5222705250002,0.0017122569972198745
2000-06-30,2000年第二季度,24043.4,26.5572782590001,0.0011045558556194257
2000-09-30,2000年第三季度,25712.5,66.4643619486649,0.002584904694162952
2000-12-31,2000年第四季度,29194.3,74.7722430870538,0.002561193215355525
2001-03-31,2001年第一季度,24086.4,59.9441965863044,0.0024887154820273844
2001-06-30,2001年第二季度,26726.6,-8.95826776869546,-0.0003351817204094595
2001-09-30,2001年第三季度,28333.3,50.046823075826,0.001766360539570964
2001-12-31,2001年第四季度,31716.8,73.019997922283,0.002302249846210305
2002-03-31,2002年第一季度,26295.0,86.1776054170551,0.003277338102949424
2002-06-30,2002年第二季度,29194.8,49.3776516364829,0.0016913166603807152
2002-09-30,2002年第三季度,31257.3,66.9695512568978,0.002142525146346543
2002-12-31,2002年第四季度,34970.3,151.694873824898,0.004337820202426001
2003-03-31,2003年第一季度,29825.5,26.0835366815762,0.0008745381194473252
2003-06-30,2003年第二季度,32537.3,82.2816472077889,0.0025288406600359865
2003-09-30,2003年第三季度,35291.9,85.50170419652,0.0024227005119168985
2003-12-31,2003年第四季度,39767.4,236.648940527459,0.00595082757553823
2004-03-31,2004年第一季度,34544.6,33.4673579639737,0.0009688159065085049
2004-06-30,2004年第二季度,38700.8,58.1215716424069,0.0015018183511040313
2004-09-30,2004年第三季度,41855.0,172.665076058104,0.004125315399787457
2004-12-31,2004年第四季度,46739.8,425.155601221133,0.009096222089549655
2005-03-31,2005年第一季度,40453.3,238.361897545938,0.0058922732520199335
2005-06-30,2005年第二季度,44793.1,294.221884444522,0.006568464438597061
2005-09-30,2005年第三季度,48047.8,334.94071840426,0.006970989689522933
2005-12-31,2005年第四季度,54024.8,456.260437269272,0.008445388733864299
2006-03-31,2006年第一季度,47078.9,339.572802768313,0.007212844878880199
